Topic 0,Topic 1,label
0.894445,0.10555505,neutral
0.407909,0.592091,negative
0.40936872,0.59063125,neutral
0.89710677,0.10289328,positive
0.9412905,0.058709502,negative
0.4852185,0.5147815,positive
0.91656584,0.08343419,positive
0.93581593,0.06418404,positive
0.7628761,0.23712392,positive
0.85593873,0.14406133,neutral
0.83443743,0.16556254,neutral
0.93568045,0.06431958,negative
0.7681117,0.23188828,neutral
0.9110974,0.08890261,neutral
0.023899782,0.9761002,neutral
0.8669343,0.1330657,negative
0.9728911,0.027108902,neutral
0.12618667,0.87381333,positive
0.9189564,0.08104361,positive
0.85186046,0.14813954,positive
0.9059756,0.094024464,positive
0.83076406,0.16923589,positive
0.8652129,0.13478711,neutral
0.9621112,0.0378888,positive
0.3685471,0.6314529,positive
0.9555343,0.044465724,neutral
0.7091135,0.2908865,neutral
0.92829496,0.071705066,neutral
0.93709207,0.062907904,positive
0.9388741,0.06112588,positive
0.8983343,0.10166569,negative
0.90802765,0.09197232,neutral
0.25881937,0.7411806,neutral
0.6655289,0.33447105,positive
0.968654,0.031345993,positive
0.6828532,0.31714672,neutral
0.2301715,0.7698285,positive
0.6179167,0.3820833,neutral
0.97853404,0.021465978,positive
0.70397794,0.29602206,positive
0.1963449,0.8036551,neutral
0.96308255,0.036917437,neutral
0.9660977,0.033902287,positive
0.9559869,0.044013076,neutral
0.9688689,0.031131016,negative
0.9245486,0.07545139,negative
0.9717786,0.028221412,neutral
0.6212176,0.37878233,positive
0.08525194,0.9147481,positive
0.9734935,0.026506504,positive
0.8995771,0.1004229,positive
0.94504213,0.054957896,positive
0.93959236,0.060407642,negative
0.8782184,0.121781595,positive
0.35869336,0.6413067,neutral
0.57805616,0.4219438,positive
0.54049474,0.4595053,positive
0.48851585,0.5114842,positive
0.038116176,0.96188384,positive
0.94265,0.057349984,positive
0.9665526,0.033447392,positive
0.9719381,0.028061926,positive
0.08993321,0.91006684,positive
0.98091954,0.019080477,negative
0.38228312,0.6177169,negative
0.4594676,0.54053235,neutral
0.52484816,0.4751518,neutral
0.96410084,0.0358991,neutral
0.9443309,0.05566911,positive
0.4294064,0.57059366,neutral
0.52801484,0.47198516,neutral
0.9789925,0.021007473,positive
0.88179415,0.11820588,positive
0.85872316,0.14127685,neutral
0.9728037,0.027196249,positive
0.9308259,0.06917405,neutral
0.41773796,0.58226204,positive
0.97104394,0.028956058,neutral
0.89318323,0.106816776,negative
0.924507,0.07549296,positive
0.73953944,0.26046053,neutral
0.8831917,0.11680832,neutral
0.9829376,0.017062467,positive
0.42470792,0.57529205,neutral
0.9260788,0.07392121,neutral
0.031129891,0.96887016,positive
0.92628217,0.07371782,positive
0.9400857,0.059914254,neutral
0.95420104,0.045798976,positive
0.31658986,0.6834101,positive
0.44719878,0.55280125,positive
0.78897744,0.21102251,neutral
0.44972518,0.55027485,negative
0.26988983,0.73011017,neutral
0.9640321,0.035967868,positive
0.9514114,0.048588593,neutral
0.95262456,0.047375426,neutral
0.91661745,0.08338255,neutral
0.3748969,0.62510306,positive
0.89281577,0.10718424,negative
0.92565495,0.07434504,negative
0.9181004,0.08189954,neutral
0.89152294,0.108477026,neutral
0.9776035,0.02239652,positive
0.9592723,0.04072771,positive
0.9221181,0.07788185,positive
0.9667926,0.033207413,neutral
0.9575226,0.042477425,neutral
0.8953196,0.10468044,positive
0.83058566,0.16941434,neutral
0.15173075,0.8482693,positive
0.67267853,0.32732144,positive
0.9636182,0.036381748,positive
0.94933116,0.050668795,positive
0.8949643,0.10503577,neutral
0.5,0.5,neutral
0.28409356,0.71590644,neutral
0.061400995,0.93859905,neutral
0.5,0.5,neutral
0.96863043,0.03136951,positive
0.9760279,0.02397211,positive
0.9614295,0.038570542,neutral
0.3125192,0.6874808,neutral
0.877505,0.12249495,neutral
0.1392645,0.86073554,neutral
0.6454475,0.35455245,negative
0.8438072,0.15619275,positive
0.81598794,0.18401206,neutral
0.97625947,0.023740545,positive
0.92545366,0.07454631,neutral
0.060347624,0.9396524,neutral
0.4087279,0.59127206,neutral
0.97976166,0.020238353,positive
0.9250318,0.07496822,neutral
0.29980654,0.70019346,neutral
0.96048045,0.03951956,neutral
0.13926299,0.86073697,neutral
0.8447131,0.15528692,negative
0.90149933,0.09850066,neutral
0.5062599,0.4937401,neutral
0.027746253,0.97225374,neutral
0.9772533,0.022746634,neutral
0.3144789,0.6855211,neutral
0.3619982,0.63800174,neutral
0.29336563,0.70663434,positive
0.9776994,0.022300547,neutral
0.9553083,0.044691704,neutral
0.5,0.5,positive
0.9626625,0.03733753,neutral
0.89489925,0.10510069,positive
0.980994,0.019006021,positive
0.56689996,0.43310001,neutral
0.9501374,0.049862627,neutral
0.45241612,0.5475838,neutral
0.1375784,0.8624216,neutral
0.40834033,0.5916596,neutral
0.94124365,0.0587564,positive
0.85513043,0.14486955,positive
0.9723288,0.02767119,positive
0.86952245,0.13047755,neutral
0.95304894,0.046951123,neutral
0.96366304,0.036337007,neutral
0.085230805,0.9147692,neutral
0.9348176,0.06518235,negative
0.9448764,0.055123623,neutral
0.033807095,0.9661929,positive
0.415337,0.584663,neutral
0.91661745,0.08338255,neutral
0.9716667,0.028333314,positive
0.9670194,0.032980595,positive
0.9796126,0.020387415,positive
0.039404508,0.9605955,neutral
0.5618942,0.43810585,negative
0.80383384,0.19616614,neutral
0.034390245,0.9656097,positive
0.859308,0.14069201,neutral
0.84108967,0.1589103,neutral
0.976913,0.023087038,positive
0.615676,0.38432398,positive
0.95900583,0.040994164,positive
0.95884305,0.04115695,positive
0.86614287,0.13385712,positive
0.5885298,0.4114702,positive
0.8288599,0.17114012,positive
0.6972957,0.30270427,negative
0.9710574,0.028942605,neutral
0.13183878,0.8681612,positive
0.9791454,0.020854544,positive
0.71603346,0.2839665,positive
0.9686932,0.031306814,positive
0.91661745,0.08338255,neutral
0.97844416,0.021555824,negative
0.3904264,0.6095736,neutral
0.69525635,0.30474365,positive
0.81370986,0.18629013,neutral
0.98144215,0.018557873,neutral
0.97847366,0.021526314,negative
0.9588935,0.041106567,positive
0.95697904,0.04302096,neutral
0.9593025,0.04069756,negative
0.93374574,0.06625429,neutral
0.9801325,0.019867482,positive
0.45138326,0.54861677,positive
0.9054677,0.09453229,negative
0.406603,0.593397,neutral
0.96595454,0.034045435,positive
0.4114956,0.5885044,negative
0.83256876,0.16743124,positive
0.5289465,0.47105354,positive
0.3721053,0.62789476,positive
0.93304265,0.06695735,neutral
0.96683764,0.033162422,positive
0.35672763,0.64327234,neutral
0.26314548,0.73685455,neutral
0.2827801,0.7172199,negative
0.5,0.5,neutral
0.96961415,0.030385856,neutral
0.9466518,0.053348195,neutral
0.93454295,0.065457076,negative
0.5,0.5,neutral
0.50280106,0.497199,neutral
0.72799957,0.27200043,neutral
0.8283609,0.17163911,neutral
0.8180213,0.18197866,neutral
0.9588034,0.04119658,positive
0.9278988,0.07210118,neutral
0.6283263,0.37167373,neutral
0.038990915,0.961009,neutral
0.92911184,0.07088815,positive
0.57060534,0.42939466,neutral
0.7663433,0.23365667,positive
0.5916348,0.40836516,negative
0.58062184,0.41937813,positive
0.5,0.5,neutral
0.27642143,0.7235786,neutral
0.49434835,0.50565165,negative
0.9776353,0.022364652,positive
0.037920166,0.9620798,positive
0.4332382,0.56676173,neutral
0.94097847,0.05902148,neutral
0.9572655,0.04273452,positive
0.83616644,0.16383359,positive
0.10839487,0.8916051,neutral
0.746872,0.253128,neutral
0.96695024,0.033049732,negative
0.9700948,0.029905241,positive
0.85698164,0.14301836,positive
0.49323726,0.50676274,neutral
0.7532665,0.24673346,neutral
0.93163484,0.06836518,neutral
0.9749822,0.025017796,positive
0.9480882,0.05191171,positive
0.18891437,0.8110856,negative
0.97338045,0.026619572,neutral
0.95946103,0.040538963,neutral
0.9060584,0.09394163,neutral
0.9384764,0.061523642,positive
0.9409085,0.059091568,neutral
0.97796965,0.022030342,positive
0.95920795,0.040792033,negative
0.9598325,0.040167466,negative
0.9477835,0.052216418,positive
0.7581574,0.24184269,negative
0.48129308,0.5187069,negative
0.92171925,0.0782807,neutral
0.9388967,0.061103307,positive
0.95532644,0.04467353,positive
0.91661745,0.08338254,neutral
0.9725504,0.027449613,neutral
0.5051137,0.49488625,neutral
0.92326605,0.07673388,positive
0.9754482,0.024551801,positive
0.038307387,0.96169263,neutral
0.09372889,0.9062711,neutral
0.97420526,0.025794711,positive
0.9758506,0.024149358,neutral
0.7652992,0.23470084,neutral
0.8526213,0.14737868,neutral
0.979473,0.020526983,positive
0.91525537,0.08474463,negative
0.932124,0.06787604,neutral
0.90512925,0.0948708,neutral
0.41941842,0.5805816,positive
0.109495185,0.8905048,neutral
0.61554366,0.38445634,neutral
0.7834758,0.21652412,neutral
0.5,0.5,neutral
0.36788753,0.6321125,positive
0.88283116,0.117168844,positive
0.9773316,0.022668429,positive
0.031263288,0.96873677,neutral
0.8132919,0.18670812,negative
0.031130202,0.9688698,positive
0.9704652,0.029534787,positive
0.90936345,0.09063653,neutral
0.05545736,0.94454265,neutral
0.73461795,0.26538205,positive
0.9066628,0.09333716,negative
0.80297893,0.1970211,neutral
0.6841522,0.3158478,neutral
0.9792686,0.020731397,neutral
0.94033086,0.059669185,positive
0.93342966,0.06657035,neutral
0.972594,0.027406013,positive
0.95304734,0.046952613,neutral
0.04895145,0.95104855,positive
0.03335682,0.9666432,neutral
0.027439682,0.97256035,positive
0.8148338,0.18516617,neutral
0.3086598,0.6913402,positive
0.092191905,0.9078081,neutral
0.71897256,0.28102744,neutral
0.46914405,0.53085595,negative
0.97517455,0.024825465,negative
0.9384144,0.0615856,neutral
0.94824106,0.051758952,positive
0.8826791,0.11732089,positive
0.97202176,0.027978256,negative
0.9265531,0.073446944,positive
0.9397583,0.060241636,neutral
0.92684007,0.07315998,neutral
0.95537716,0.044622865,neutral
0.45053092,0.54946905,neutral
0.5,0.5,neutral
0.4151961,0.58480394,neutral
0.97456175,0.025438242,negative
0.5,0.5,neutral
0.49339822,0.5066018,neutral
0.5,0.5,neutral
0.9369196,0.063080385,neutral
0.5441345,0.45586547,neutral
0.7367629,0.2632371,positive
0.317319,0.682681,neutral
0.75341696,0.24658303,neutral
0.96185046,0.038149554,neutral
0.32914534,0.6708546,negative
0.9199512,0.0800488,positive
0.9181542,0.08184582,positive
0.49382594,0.5061741,positive
0.51665425,0.4833458,neutral
0.44016773,0.55983233,positive
0.91661745,0.08338255,neutral
0.816051,0.18394892,neutral
0.9719023,0.0280977,positive
0.6818609,0.3181391,positive
0.4120506,0.5879494,neutral
0.8868165,0.11318347,neutral
0.9753028,0.024697198,neutral
0.93707865,0.06292132,neutral
0.8754209,0.12457911,negative
0.93667465,0.06332536,positive
0.96528566,0.034714296,positive
0.92471176,0.07528822,neutral
0.10089026,0.8991098,neutral
0.9530478,0.046952177,neutral
0.9653636,0.034636427,positive
0.7633176,0.23668239,positive
0.97380304,0.026196904,neutral
0.96555436,0.034445673,neutral
0.8306031,0.16939688,positive
0.94248974,0.057510227,positive
0.5968883,0.40311173,positive
0.9430039,0.056996092,negative
0.91887784,0.081122175,neutral
0.2112089,0.78879106,neutral
0.9728906,0.027109392,neutral
0.31228963,0.6877103,neutral
0.5,0.5,neutral
0.16835985,0.8316401,neutral
0.5233682,0.47663185,neutral
0.7564765,0.2435235,neutral
0.6937631,0.30623686,positive
0.81044406,0.18955599,neutral
0.9737922,0.026207797,positive
0.97430986,0.025690142,negative
0.052806333,0.9471937,positive
0.87342864,0.12657136,neutral
0.7791129,0.22088714,positive
0.90227467,0.09772535,positive
0.8547791,0.14522086,positive
0.4818657,0.51813424,negative
0.95906633,0.040933624,negative
0.3535073,0.6464927,neutral
0.97920245,0.020797564,neutral
0.115307316,0.8846926,positive
0.9621997,0.037800357,negative
0.3350756,0.66492444,neutral
0.93320125,0.06679873,neutral
0.70464903,0.295351,neutral
0.96550834,0.034491625,neutral
0.9722259,0.027774114,positive
0.22724442,0.77275556,positive
0.22125213,0.77874786,neutral
0.91661745,0.08338255,neutral
0.35412303,0.645877,neutral
0.6029986,0.39700136,neutral
0.6162707,0.3837293,neutral
0.30707362,0.69292635,neutral
0.66293246,0.3370675,positive
0.2919566,0.7080434,neutral
0.392164,0.60783595,neutral
0.9767675,0.023232512,neutral
0.8611685,0.13883151,neutral
0.91661745,0.08338255,neutral
0.9292779,0.07072207,positive
0.89668226,0.10331776,negative
0.97735417,0.022645814,positive
0.028209222,0.97179073,neutral
0.2195518,0.78044826,positive
0.91661745,0.08338255,neutral
0.5,0.5,neutral
0.9736736,0.026326414,neutral
0.45381588,0.54618406,neutral
0.13948861,0.86051136,neutral
0.675702,0.32429805,neutral
0.8506713,0.14932872,neutral
0.8420144,0.15798557,neutral
0.9786802,0.021319803,neutral
0.91661745,0.08338254,neutral
0.96911997,0.030879978,positive
0.16218631,0.83781374,positive
0.935037,0.064962976,neutral
0.91661745,0.08338255,neutral
0.9787322,0.0212678,positive
0.3272533,0.67274666,positive
0.108309366,0.8916907,positive
0.91661745,0.08338254,neutral
0.8467146,0.15328543,neutral
0.49615777,0.50384223,positive
0.73611206,0.2638879,positive
0.04450324,0.9554968,neutral
0.9741139,0.02588615,neutral
0.9492699,0.05073015,positive
0.91661745,0.08338255,neutral
0.96086496,0.039135084,negative
0.06387823,0.93612176,neutral
0.96248144,0.037518602,positive
0.040629484,0.9593705,neutral
0.93559104,0.06440894,positive
0.17629793,0.82370204,neutral
0.93139046,0.06860958,positive
0.96289223,0.03710777,positive
0.9751608,0.024839198,positive
0.27782378,0.72217625,neutral
0.39399087,0.6060091,positive
0.912733,0.08726697,negative
0.93344307,0.06655696,negative
0.96881676,0.031183219,positive
0.9726224,0.027377576,neutral
0.9702543,0.029745724,positive
0.059991162,0.9400089,positive
0.9533099,0.046690147,negative
0.95221883,0.04778118,positive
0.47686645,0.5231336,positive
0.86729914,0.13270092,negative
0.05526039,0.9447396,neutral
0.18384911,0.81615084,positive
0.0404272,0.9595728,neutral
0.9738566,0.026143316,positive
0.15550111,0.8444989,positive
0.97027355,0.029726388,positive
0.7022365,0.2977635,positive
0.3976625,0.6023375,neutral
0.96438175,0.03561821,positive
0.9423754,0.057624638,positive
0.9809128,0.019087208,positive
0.9598378,0.040162176,positive
0.5929818,0.40701813,positive
0.05767907,0.94232094,positive
0.9572326,0.042767406,positive
0.06868871,0.9313113,positive
0.541139,0.458861,positive
0.92358345,0.07641657,positive
0.91661745,0.08338254,neutral
0.9761204,0.023879549,positive
0.20221338,0.79778665,positive
0.8422297,0.15777022,positive
0.94156283,0.058437154,neutral
0.9756397,0.02436027,neutral
0.5128833,0.48711672,neutral
0.5524613,0.4475387,neutral
0.28233093,0.71766907,positive
0.79813737,0.20186259,neutral
0.94635886,0.053641163,positive
0.48020303,0.51979697,neutral
0.6240612,0.37593877,positive
0.05202737,0.9479726,neutral
0.111195795,0.88880426,positive
0.91661745,0.08338255,neutral
0.3419703,0.6580297,neutral
0.9305864,0.06941364,neutral
0.9604073,0.0395927,positive
0.88771236,0.1122876,neutral
0.576498,0.42350206,neutral
0.060536675,0.9394634,neutral
0.71597517,0.28402486,positive
0.9775721,0.022427903,neutral
0.2779937,0.7220063,positive
0.9712996,0.02870036,negative
0.9509536,0.049046423,positive
0.9574479,0.042552106,positive
0.96214944,0.037850514,positive
0.67645687,0.32354313,positive
0.44912523,0.55087477,negative
0.95199174,0.048008267,positive
0.73747754,0.26252243,positive
0.97760296,0.022397036,positive
0.92545646,0.074543566,positive
0.9586198,0.041380182,positive
0.26146138,0.73853856,positive
0.1075753,0.8924247,neutral
0.9647988,0.03520122,positive
0.055672526,0.9443275,positive
0.95774466,0.04225537,positive
0.97253215,0.02746779,positive
0.9691487,0.030851295,positive
0.9769879,0.023012085,positive
0.95200133,0.047998656,positive
0.85394454,0.14605546,neutral
0.96958655,0.030413462,positive
0.91281873,0.08718126,positive
0.8823658,0.1176341,negative
0.6705773,0.32942274,neutral
0.82350034,0.17649965,positive
0.6928495,0.30715048,negative
0.5280142,0.47198582,neutral
0.544448,0.45555195,positive
0.97723055,0.022769485,positive
0.9338454,0.066154584,positive
0.98033017,0.019669814,positive
0.97271025,0.027289791,positive
0.92955464,0.07044536,positive
0.9587039,0.041296102,neutral
0.1773838,0.8226162,positive
0.8316709,0.16832915,negative
0.9355604,0.06443956,negative
0.96916777,0.030832216,positive
0.96938753,0.03061252,positive
0.9371357,0.06286428,negative
0.7714216,0.22857843,positive
0.9544307,0.0455693,positive
0.16498569,0.8350143,positive
0.88947934,0.11052062,positive
0.9637297,0.03627029,negative
0.93242395,0.067576036,neutral
0.92909735,0.070902675,positive
0.90376455,0.09623551,neutral
0.8539207,0.1460793,positive
0.36424997,0.63575006,positive
0.9354294,0.06457062,positive
0.6964904,0.30350956,positive
0.77933055,0.22066945,negative
0.93201864,0.067981325,neutral
0.9392138,0.06078621,positive
0.91242564,0.08757438,neutral
0.9516266,0.048373412,neutral
0.9092351,0.09076484,positive
0.47088948,0.5291105,negative
0.9134266,0.08657345,positive
0.90206414,0.0979358,neutral
0.9689766,0.0310234,positive
0.50241685,0.49758318,positive
0.907081,0.09291903,positive
0.9673517,0.032648392,neutral
0.92480326,0.075196736,positive
0.48069096,0.51930904,neutral
0.965569,0.034431025,neutral
0.07355835,0.92644167,neutral
0.8542957,0.14570434,positive
0.95344085,0.04655912,neutral
0.8903877,0.10961225,neutral
0.93407416,0.06592582,neutral
0.9644603,0.03553969,positive
0.952792,0.047208,positive
0.26683506,0.7331649,neutral
0.9527454,0.04725458,neutral
0.341491,0.65850896,neutral
0.96298254,0.037017435,neutral
0.75086194,0.24913806,neutral
0.91024256,0.0897574,positive
0.32862803,0.67137194,neutral
0.7974481,0.20255187,positive
0.54085183,0.4591482,neutral
0.92029345,0.07970658,neutral
0.97189647,0.028103506,positive
0.97077096,0.02922906,positive
0.96685815,0.03314185,neutral
0.9630784,0.03692158,negative
0.91338724,0.08661278,neutral
0.97959536,0.02040464,neutral
0.68212175,0.31787822,positive
0.9196982,0.08030177,neutral
0.43872464,0.5612753,positive
0.9755207,0.024479326,negative
0.4638552,0.5361448,positive
0.97996044,0.020039577,neutral
0.930392,0.06960794,neutral
0.5647011,0.43529898,neutral
0.4361724,0.5638276,positive
0.9580429,0.041957073,neutral
0.9472627,0.052737314,positive
0.3305396,0.66946036,negative
0.974955,0.02504496,neutral
0.2975603,0.70243967,neutral
0.9472149,0.052785058,positive
0.91661745,0.08338255,neutral
0.3986657,0.6013343,neutral
0.85199386,0.14800614,positive
0.95963293,0.040367123,negative
0.9357862,0.064213865,negative
0.77936274,0.2206373,neutral
0.9654676,0.034532476,neutral
0.19818889,0.80181116,neutral
0.96498394,0.035016064,negative
0.8999249,0.10007509,positive
0.13947544,0.86052454,neutral
0.22559357,0.77440643,neutral
0.95343554,0.04656451,neutral
0.95724183,0.042758167,negative
0.6258096,0.37419042,positive
0.9247309,0.07526907,neutral
0.93192047,0.068079546,positive
0.49346784,0.5065322,neutral
0.051511522,0.9484885,neutral
0.16908312,0.8309169,neutral
0.9425816,0.057418413,neutral
0.9300027,0.06999733,neutral
0.537695,0.46230504,positive
0.25372526,0.74627477,neutral
0.78710634,0.21289364,neutral
0.7933977,0.20660223,neutral
0.96007866,0.03992136,negative
0.9025174,0.097482614,neutral
0.97428465,0.025715362,neutral
0.90665156,0.09334848,positive
0.693387,0.30661303,neutral
0.5621899,0.43781015,neutral
0.96184033,0.03815964,neutral
0.94171697,0.05828299,neutral
0.86583817,0.13416184,negative
0.05519972,0.94480026,neutral
0.4155808,0.5844192,neutral
0.9620536,0.0379464,positive
0.91661745,0.08338255,neutral
0.5,0.5,negative
0.9604957,0.039504282,neutral
0.8825569,0.11744305,positive
0.90800077,0.09199925,neutral
0.90712833,0.09287161,negative
0.044581123,0.9554189,neutral
0.5,0.5,neutral
0.8194318,0.18056817,neutral
0.94226897,0.057730984,neutral
0.03153087,0.9684691,neutral
0.4752477,0.5247523,positive
0.95184827,0.048151687,negative
0.967662,0.032338027,positive
0.93661,0.06339,positive
0.33762485,0.6623751,positive
0.98148334,0.018516624,neutral
0.95798093,0.042019054,positive
0.09372563,0.9062744,neutral
0.7379554,0.26204464,neutral
0.9744139,0.025586134,positive
0.64292395,0.3570761,neutral
0.5529951,0.44700488,neutral
0.68487394,0.3151261,neutral
0.90906954,0.09093041,positive
0.18311697,0.816883,neutral
0.6755934,0.32440665,positive
0.9719113,0.028088674,negative
0.058307484,0.94169253,neutral
0.95777035,0.042229645,positive
0.950705,0.04929506,negative
0.32011014,0.67988986,positive
0.08413952,0.9158605,neutral
0.7185335,0.28146648,positive
0.95892566,0.04107433,neutral
0.08068058,0.9193194,neutral
0.86063045,0.13936952,neutral
0.10588418,0.8941158,neutral
0.05901098,0.940989,negative
0.96505314,0.034946855,neutral
0.96679336,0.033206683,neutral
0.9376819,0.062318042,positive
0.9275729,0.072427064,positive
0.9693034,0.030696567,neutral
0.97959536,0.020404654,negative
0.46536547,0.5346345,positive
0.6977525,0.3022475,positive
0.8356985,0.1643015,neutral
0.96064013,0.039359882,neutral
0.8955061,0.104493886,negative
0.39490986,0.60509014,neutral
0.92567027,0.07432973,positive
0.9769017,0.023098268,negative
0.89198357,0.108016476,positive
0.927303,0.07269702,positive
0.97033656,0.02966341,positive
0.97312975,0.026870282,positive
0.04373571,0.95626426,positive
0.42057598,0.579424,neutral
0.41741702,0.58258295,negative
0.97945637,0.020543661,neutral
0.81603396,0.18396609,neutral
0.5,0.5,neutral
0.32669482,0.67330515,positive
0.6924206,0.3075794,neutral
0.9658668,0.03413321,positive
0.91661745,0.08338255,neutral
0.8641705,0.13582954,neutral
0.8555054,0.14449461,neutral
0.37320492,0.62679505,positive
0.92088073,0.07911926,positive
0.16571712,0.83428293,neutral
0.8145426,0.18545742,positive
0.3838253,0.6161747,positive
0.787163,0.21283695,neutral
0.18090996,0.81909007,neutral
0.02587288,0.9741271,neutral
0.9303673,0.06963273,positive
0.9794277,0.020572357,neutral
0.36071762,0.6392824,neutral
0.9665643,0.033435684,positive
0.8901048,0.10989523,neutral
0.9773056,0.022694435,positive
0.95002854,0.04997145,positive
0.4788971,0.5211029,neutral
0.9700461,0.029953875,positive
0.36808568,0.6319143,neutral
0.72190696,0.278093,neutral
0.92635345,0.073646545,neutral
0.87896025,0.121039726,positive
0.9690461,0.030953864,positive
0.72131246,0.27868754,neutral
0.8913622,0.108637795,negative
0.9251212,0.07487879,neutral
0.08522032,0.91477966,neutral
0.9760128,0.023987148,positive
0.29163885,0.70836115,positive
0.71904993,0.28095007,neutral
0.0937285,0.90627146,neutral
0.17015192,0.8298481,negative
0.7207684,0.2792316,neutral
0.93690187,0.0630981,neutral
0.9119567,0.088043265,neutral
0.7023186,0.29768136,positive
0.89495397,0.10504605,positive
0.96797395,0.03202603,neutral
0.6842444,0.31575567,neutral
0.9726234,0.027376568,neutral
0.97321534,0.026784603,neutral
0.76482487,0.23517512,neutral
0.97481227,0.025187679,positive
0.8721643,0.12783566,neutral
0.21309021,0.78690976,neutral
0.95033246,0.049667533,neutral
0.9366016,0.06339849,neutral
0.9726668,0.027333202,neutral
0.9273213,0.0726787,neutral
0.30959773,0.69040227,neutral
0.9629414,0.037058618,neutral
0.06398837,0.9360116,neutral
0.94769716,0.052302785,neutral
0.9482534,0.051746603,negative
0.89442515,0.10557485,neutral
0.13622706,0.8637729,positive
0.55764204,0.44235793,neutral
0.03569691,0.964303,positive
0.060968503,0.9390315,neutral
0.8961446,0.103855334,negative
0.9423944,0.057605688,neutral
0.5139566,0.4860434,neutral
0.78681964,0.21318036,neutral
0.23469317,0.76530683,positive
0.95995826,0.04004178,neutral
0.96220523,0.03779477,neutral
0.97914845,0.020851586,positive
0.9298959,0.0701041,neutral
0.22581026,0.7741898,positive
0.98041797,0.01958203,positive
0.82079625,0.1792038,positive
0.9067439,0.09325614,neutral
0.9770602,0.022939755,positive
0.93287563,0.06712437,neutral
0.9555311,0.044468865,positive
0.5605872,0.4394127,neutral
0.118810944,0.88118905,positive
0.11312978,0.8868702,neutral
0.9243537,0.075646326,neutral
0.83299077,0.16700922,neutral
0.3896751,0.61032486,positive
0.9589207,0.04107927,neutral
0.28809485,0.7119051,neutral
0.42333898,0.576661,neutral
0.9652098,0.034790173,positive
0.36191303,0.638087,positive
0.9563915,0.043608468,neutral
0.8136983,0.18630168,neutral
0.5,0.5,neutral
0.87904036,0.12095966,positive
0.9761903,0.023809657,neutral
0.26844126,0.73155874,neutral
0.08458758,0.9154124,neutral
0.8604477,0.13955231,positive
0.8211092,0.1788908,positive
0.97382313,0.026176862,positive
0.969035,0.030964972,neutral
0.9453041,0.054695893,negative
0.9122845,0.08771554,neutral
0.7884536,0.21154645,positive
0.96513087,0.034869142,negative
0.3577655,0.64223444,neutral
0.032997523,0.9670025,positive
0.85155153,0.14844844,neutral
0.16218399,0.837816,neutral
0.42203617,0.5779638,neutral
0.9706565,0.029343469,neutral
0.9173352,0.08266479,positive
0.03028191,0.96971804,positive
0.9561334,0.043866564,positive
0.9775228,0.0224772,neutral
0.9765887,0.0234113,neutral
0.31850576,0.68149424,positive
0.9723406,0.027659412,neutral
